t,x_true,y_white,y_bias,y_drift,y_quant,y_late,y_drop,y_out,y_combo
0.000000000000000000e+00,0.000000000000000000e+00,1.106521177777477494e-01,5.094452453797130298e-01,-4.801604325597504108e-02,1.000000000000000056e-01,1.333729554868985992e-02,-6.810397184259329995e-02,-1.192540071906734653e-03,2.000000000000000111e-01
1.000000000000000021e-02,1.041957810957391539e-01,1.477159029396339363e-01,7.158945216582405235e-01,7.972395094777109947e-02,-0.000000000000000000e+00,1.023767438181846789e-02,4.989694344345834559e-02,1.841929144438692600e-01,2.000000000000000111e-01
2.000000000000000042e-02,2.077622249443740188e-01,1.961642273710687834e-01,8.504409992216662717e-01,1.749651036672293658e-01,2.000000000000000111e-01,2.104408271497884564e-02,1.793578761803613086e-01,1.655259090998119076e-01,2.000000000000000111e-01
2.999999999999999889e-02,3.100761448489766647e-01,-1.537110740953364640e-01,1.163349892223415116e+00,4.428958448210795762e-01,3.000000000000000444e-01,-3.447421028001428772e-02,3.185590286187025555e-01,3.387783441158174758e-01,2.000000000000000111e-01
4.000000000000000083e-02,4.105265932038077992e-01,4.968254267455778916e-01,9.474705719024215655e-01,5.984911552396012802e-01,5.000000000000000000e-01,-8.769498430902300523e-02,3.674471339870215569e-01,4.604903629915222396e-01,2.000000000000000111e-01
5.000000000000000278e-02,5.085208266431197055e-01,8.326486975294333792e-02,1.163904342416238302e+00,5.425587973934690167e-01,5.000000000000000000e-01,5.767102777418962184e-02,5.571579705572636820e-01,5.315707577713446597e-01,2.000000000000000111e-01
5.999999999999999778e-02,6.034900876606188458e-01,7.854743310651457477e-01,1.146456118711501659e+00,6.513192219454386755e-01,6.000000000000000888e-01,-3.248536880180633718e-02,5.134292604580985575e-01,6.537928532915932012e-01,2.000000000000000111e-01
7.000000000000000666e-02,6.948951444155878621e-01,8.160882590168705431e-01,1.314615264948452600e+00,5.984942893838542943e-01,7.000000000000000666e-01,9.941297723135478562e-03,6.594989152177699321e-01,7.105763452757852816e-01,2.000000000000000111e-01
8.000000000000000167e-02,7.822315328832962766e-01,9.482428625989794968e-01,1.302621819770851452e+00,8.826766608330781638e-01,8.000000000000000444e-01,-8.866137938111712247e-02,7.627483363018308093e-01,7.911909061424542422e-01,2.000000000000000111e-01
8.999999999999999667e-02,8.650344485128114158e-01,1.030574117255889099e+00,1.226279314810943877e+00,6.328977917757947491e-01,8.000000000000000444e-01,1.101886863229263602e-01,7.974768955327168340e-01,8.469315027949907426e-01,2.000000000000000111e-01
