k,measurement_z,estimate_xhat,kalman_gain_K,P_pred,P
0.000000,44.224807,24.323644,0.550000,11.000000,4.950000
1.000000,40.943614,30.938281,0.397993,5.950000,3.581940
2.000000,53.463389,38.537246,0.337355,4.581940,3.036198
3.000000,54.688346,43.537863,0.309615,4.036198,2.786532
4.000000,53.988552,46.632672,0.296134,3.786532,2.665210
5.000000,48.711223,47.234188,0.289392,3.665210,2.604527
6.000000,49.781335,47.962598,0.285971,3.604527,2.573738
7.000000,49.125359,48.293080,0.284222,3.573738,2.558001
8.000000,54.104728,49.939668,0.283325,3.558001,2.549929
9.000000,52.615902,50.696680,0.282864,3.549929,2.545780
10.000000,50.175133,50.549276,0.282627,3.545780,2.543646
11.000000,52.124371,50.994249,0.282505,3.543646,2.542547
12.000000,54.080918,51.866055,0.282442,3.542547,2.541982
13.000000,51.123575,51.656371,0.282410,3.541982,2.541690
14.000000,46.743450,50.268995,0.282393,3.541690,2.541540
15.000000,49.775615,50.129672,0.282385,3.541540,2.541463
16.000000,48.720030,49.731617,0.282380,3.541463,2.541423
17.000000,45.224458,48.458894,0.282378,3.541423,2.541403
18.000000,43.862431,47.160959,0.282377,3.541403,2.541392
19.000000,50.446138,48.088615,0.282376,3.541392,2.541387
20.000000,46.863854,47.742772,0.282376,3.541387,2.541384
21.000000,51.242965,48.731142,0.282376,3.541384,2.541383
22.000000,47.599356,48.411553,0.282376,3.541383,2.541382
23.000000,52.409084,49.540359,0.282376,3.541382,2.541382
24.000000,52.655225,50.419921,0.282376,3.541382,2.541381
25.000000,51.146786,50.625170,0.282376,3.541381,2.541381
26.000000,46.402208,49.432708,0.282376,3.541381,2.541381
27.000000,43.876242,47.863697,0.282376,3.541381,2.541381
28.000000,56.425584,50.281366,0.282376,3.541381,2.541381
29.000000,49.839636,50.156632,0.282376,3.541381,2.541381
